OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
285022.33,UA,United Air Lines Inc.,D,2019,1
285442,AS,Alaska Airlines Inc.,D,2016,1
288285,AS,Alaska Airlines Inc.,D,2016,4
290004.58,UA,United Air Lines Inc.,A,2013,2
292179,AS,Alaska Airlines Inc.,D,2018,3
292319.58,AA,American Airlines Inc.,P,2016,2
295821,AA,American Airlines Inc.,L,2013,3
295980,AA,American Airlines Inc.,D,2014,4
296308,DL,Delta Air Lines Inc.,P,2013,3
298509.33,AA,American Airlines Inc.,L,2016,2
305824,AS,Alaska Airlines Inc.,D,2014,3
306697.45,AA,American Airlines Inc.,L,2019,4
306731.02,AA,American Airlines Inc.,L,2016,1
308067.99,AA,American Airlines Inc.,L,2018,1
315086.06,UA,United Air Lines Inc.,A,2016,3
315686.49,AA,American Airlines Inc.,P,2016,1
317175.37,UA,United Air Lines Inc.,D,2017,1
326118.82,UA,United Air Lines Inc.,A,2018,3
333140.68,UA,United Air Lines Inc.,D,2014,4
333324.29,UA,United Air Lines Inc.,A,2014,2
334552.41,UA,United Air Lines Inc.,A,2018,2
338135.69,UA,United Air Lines Inc.,A,2015,4
338555.6,AA,American Airlines Inc.,L,2022,4
343086.57,UA,United Air Lines Inc.,D,2015,1
343457.44,AA,American Airlines Inc.,D,2018,1
345905,DL,Delta Air Lines Inc.,A,2015,4
347039,AA,American Airlines Inc.,D,2014,1
348028.44,UA,United Air Lines Inc.,A,2019,3
348793,AS,Alaska Airlines Inc.,D,2019,2
349767,AS,Alaska Airlines Inc.,D,2015,2
355056,WN,Southwest Airlines Co.,D,2010,3
362769,WN,Southwest Airlines Co.,D,2010,2
364778,DL,Delta Air Lines Inc.,P,2012,3
370605,DL,Delta Air Lines Inc.,D,2021,3
374519,DL,Delta Air Lines Inc.,A,2017,2
376206,UA,United Air Lines Inc.,A,2014,3
380836,WN,Southwest Airlines Co.,D,2022,3
381403,WN,Southwest Airlines Co.,D,2013,4
383279.83,AA,American Airlines Inc.,D,2018,3
384892,WN,Southwest Airlines Co.,D,2013,3
391289,DL,Delta Air Lines Inc.,A,2022,3
399666,AS,Alaska Airlines Inc.,D,2019,3
402418,AS,Alaska Airlines Inc.,D,2016,2
405849,AS,Alaska Airlines Inc.,D,2017,3
409288,AS,Alaska Airlines Inc.,D,2016,3
409786,DL,Delta Air Lines Inc.,D,2010,4
419913.48,UA,United Air Lines Inc.,D,2013,2
420896,AS,Alaska Airlines Inc.,D,2015,3
420931.37,UA,United Air Lines Inc.,A,2022,3
423433.83,UA,United Air Lines Inc.,A,2015,2
425318.01,UA,United Air Lines Inc.,A,2019,2
427427,WN,Southwest Airlines Co.,D,2013,2
428837,AA,American Airlines Inc.,D,2014,3
430770,DL,Delta Air Lines Inc.,A,2017,3
439287,DL,Delta Air Lines Inc.,D,2014,1
443183,DL,Delta Air Lines Inc.,A,2018,2
445170,DL,Delta Air Lines Inc.,A,2014,2
445718,AS,Alaska Airlines Inc.,D,2017,2
447835,AS,Alaska Airlines Inc.,D,2013,3
455653,WN,Southwest Airlines Co.,D,2012,2
